	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-DJ-A2Q7-01A	7.121050679	7.087462841	5.368018336	3.501555855	7.749352488	10.00306878	7.31006051	7.731977964	10.76170518	11.98499482
TCGA-DJ-A2Q9-01A	8.715712805	7.189824559	5.765875103	3.660864518	11.94961336	11.04170028	10.73250347	8.062592371	10.04800516	14.88815135
TCGA-DJ-A2QA-01A	5.042874836	6.285402219	3.693313889	0.81347433	3.705848113	8.132926226	5.449142817	6.170151794	9.261107553	11.33707486
TCGA-DJ-A2QB-01A	5.134257306	4.087462841	3.937827232	2.347156914	5.212416275	8.840418923	6.066203746	7.500804485	10.41462309	10.43311186
TCGA-DJ-A2QC-01A	6.045517087	7.285402219	5.387132516	3.188677843	6.318639828	8.700918652	4.27598001	6.870066813	10.41693211	10.42421344
TCGA-DJ-A3UK-01A	5.767148595	5.807354922	4.595246049	2.894466699	5.042102951	9.490339459	6.908060676	7.950820487	10.52776488	11.27387715
TCGA-DJ-A3UM-01A	6.394835143	7.515699838	5.304450022	3.772171055	7.147941015	9.748531115	7.689326787	8.08445214	10.45786177	12.25566541
TCGA-DJ-A3UN-01A	6.550815577	8.087462841	5.280380159	2.967928033	6.40678336	9.653382654	6.110384184	7.859041753	10.22066691	11.37615303
TCGA-DJ-A3UO-01A	4.792481497	4.807354922	3.939748308	2.016160377	4.714543828	8.65069649	6.034912606	7.020769622	9.532807036	11.28294114
TCGA-DJ-A3UP-01A	6.508635349	6.442943496	5.427944519	4.406663469	6.196473814	9.154789142	4.493909214	7.68644269	10.49081732	11.13552754
TCGA-DJ-A3UQ-01A	7.205227601	7.098032083	4.952999545	1.94807628	5.150517123	9.721623158	9.811540035	7.541136674	9.611237272	14.50515517
TCGA-DJ-A3UR-01A	5.412255206	4.807354922	4.578163023	2.932384919	4.498371498	8.755834811	5.505621115	7.184473354	10.60009239	10.81077715
