"","relapse_kz_s1","relapse_kz_s2","relapse_kz_s3","relapse_kz_s45"
"ACBD6",1.27944518706284e-06,0.0609695401394551,0.00102863581275854,0.00917753284086742
"ACBD7",0.181374050398453,0.0491309322891588,0.000197622861314508,0.258078303493807
"ACCS",0.47504086341874,1,1,0.724950738603412
"ACCSL",0.473480052158586,1,0.919833295102343,0.724642235686791
"ACD",0.00324394539563562,0.707092858586354,0.645310115340995,0.301416060841889
"ACE",0.0227269080790833,0.781204920883059,0.146989055308756,0.478914854990213
"ACE2",0.602999580119846,0.899706987848179,0.0488362773981146,1
"ACER1",0.281053083303742,0.61065126378484,0.0568969027116947,1
"ACER2",0.266687393393546,0.592452850661202,0.00254738617118337,0.0794840165897501
"ACER3",0.446964191570884,1,0.00483015708150415,1
"ACHE",0.415498865199295,0.588323227216018,0.0564890506556311,0.898553482573446
"ACIN1",1,0.911967440113718,0.20917651942473,0.341038455487652
"ACKR2",0.299274759327156,1,0.0684611312263181,0.221496720176719
"ACKR3",0.382081316728347,0.291719766435373,0.00370640176035226,0.0137997682898366
"ACKR4",0.174965384465693,0.705830875908607,0.000525324963506559,1
"ACKR5",0.283661553060856,0.159991369105756,0.038898721737534,0.29866294357947
"ACKR6",0.112590841965321,0.236259562529722,0.000106599076041682,0.330647054335482
"ACLY",0.534106464695733,1,0.431785594430979,1
"ACMSD",1,0.191240655767183,0.0591876458588097,0.0272685985209747
"ACN9",0.278654746431444,0.788467041668139,0.0668678601054313,1
"ACO1",0.303370130556232,1,0.0919132065670258,1
"ACO2",0.365205653180731,0.275851712806389,0.0463574098688646,0.237593107960359
"ACOT1",0.134935817186174,0.474995345932226,0.231659480815526,0.315825961250349
"ACOT11",0.685041196737849,0.0455062020769614,7.9717453734623e-07,0.0680102314465392
"ACOT12",0.418377692509109,0.792960362063365,0.157179108712413,0.141654848551727
"ACOT13",0.107181128814839,0.625030919398351,4.97699494650991e-06,0.654809744458614
"ACOT2",0.134935817186174,0.474995345932226,0.231659480815526,0.315825961250349
"ACOT4",0.134935817186174,0.474995345932226,0.231659480815526,0.315825961250349
"ACOT6",0.135010933209039,0.475245061227764,0.276870609743961,0.318939573190108
"ACOT7",0.10103389881557,0.777090412611868,1.61503091834561e-06,0.124383550767661
"ACOT8",0.724491222338244,0.343418569576087,0.0306005255625625,0.898532436619609
"ACOT9",0.602199604812795,0.799199100179003,0.0789122426493166,0.706428076471524
"ACOX1",0.0600668723038794,0.14229889239465,0.00307733944842368,1
"ACOX2",0.283799522111115,0.173265281112386,0.0165196252912708,0.671545776046617
"ACOX3",0.150586575384762,0.578168410410254,9.5109000627186e-08,0.646407879844005
"ACOXL",1,0.499514238844654,0.306818520610445,0.0112457527965808
"ACP1",0.528187029726178,0.479120699185227,0.000325295927267127,0.0151422224559724
"ACP2",0.778262328744591,0.904731955704844,1,0.861681872211738
