	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
TCGA-06-0178-01A	0.00429198	0.023742284	0.045750769	0.021003399	0.045242854	0.000185964	0.000538845	0.859243905
TCGA-06-0184-01A	0.001800282	0.005209985	0.065619406	0.015368244	0.068357534	0.000123052	3.85E-09	0.843521494
TCGA-06-0187-01A	0.00237209	0.008692613	0.12089915	0.020178557	0.03966483	0.000249705	4.55E-09	0.80794305
TCGA-06-0190-01A	0.000383958	0.007139181	0.189650328	0.022857813	0.061733418	0.000189135	3.90E-09	0.718046163
TCGA-06-0190-02A	0.000420531	0.007049178	0.173075773	0.025915032	0.05958695	0.000342475	3.52E-10	0.733610061
TCGA-06-0210-01A	0.001950901	0.005571739	0.11243396	0.016088981	0.055460771	0.000161351	6.00E-10	0.808332295
TCGA-06-0210-02A	0.00044258	0.005737077	0.12384817	0.019147312	0.078189311	0.000281106	3.65E-09	0.77235444
TCGA-06-0211-01A	1.33E-07	0.009639205	0.170431373	0.023932746	0.049613007	0.000227887	3.79E-09	0.746155646
TCGA-06-0211-01B	0.001673693	0.011616142	0.175007176	0.0270203	0.039119137	0.000390868	3.92E-09	0.745172681
TCGA-06-0211-02A	0.001847238	0.008444551	0.11745719	0.025003705	0.055444118	0.000266245	8.73E-10	0.791536952
TCGA-06-0219-01A	0.003768141	0.022168572	0.074954029	0.018129376	0.04007202	0.00015288	1.20E-08	0.840754971
TCGA-06-0221-02A	0.003021143	0.006526076	0.103268797	0.028506442	0.022266638	0.000721644	5.46E-08	0.835689206
TCGA-06-0238-01A	0.003967602	0.010701118	0.068239736	0.023901855	0.101996941	0.000128803	5.04E-09	0.791063941
TCGA-06-0644-01A	0.000698252	0.008825095	0.196187904	0.020118441	0.050179056	0.000231537	2.09E-09	0.723759713
TCGA-06-0645-01A	0.000700471	0.008255339	0.134616288	0.018638358	0.096098672	3.42E-05	4.48E-09	0.741656636
TCGA-06-0646-01A	0.000787738	0.00787406	0.154931318	0.019919633	0.056083475	0.000301771	1.67E-08	0.760101988
TCGA-06-0649-01B	0.002020804	0.010503931	0.08744501	0.018159624	0.053729042	0.00010214	4.46E-10	0.828039448
TCGA-06-0675-11A	0.000897884	0.003031556	0.072954007	0.012486113	0.012440515	0.000471417	4.43E-09	0.897718503
TCGA-06-0678-11A	0.000674416	0.003873501	0.07503799	0.01442593	0.011915468	0.000459691	1.26E-09	0.893613003
