"","seq1","seq2","seq3","seq4","seq5","seq6","seq7","seq8","seq9"
"DEK",0.0124366651312759,0.00613496932515337,0.0394736842105263,0.0131926121372032,0.0121951219512195,0,0.0126997132322819,0.00835654596100279,0.0172413793103448
"DNMT3A",0.0405343159834178,0.0245398773006135,0.0526315789473684,0.0343007915567282,0.0487804878048781,0.0573248407643312,0.0266284309709136,0.0194986072423398,0.0344827586206897
"DUSP22",0.026715799170889,0.0368098159509202,0.0131578947368421,0.0269129287598945,0.0304878048780488,0.00636942675159236,0.0270380991396968,0.00557103064066852,0.021551724137931
"ECT2L",0.0285582680792262,0.00613496932515337,0.0263157894736842,0.0205804749340369,0.0670731707317073,0.0127388535031847,0.0192544039328144,0.011142061281337,0.021551724137931
"EED",0.0170428374021188,0,0.0131578947368421,0.0158311345646438,0.0304878048780488,0.00636942675159236,0.0131093814010651,0.011142061281337,0.0172413793103448
"EGFR",0.0502072777521879,0.0429447852760736,0.0526315789473684,0.0496042216358839,0.0670731707317073,0.0254777070063694,0.0446538303973781,0.0389972144846797,0.0646551724137931
"EP300",0.0594196222938738,0.0368098159509202,0.131578947368421,0.0548812664907652,0.0670731707317073,0.0700636942675159,0.0585825481360098,0.0417827298050139,0.0991379310344828
"EPOR",0.0133578995854445,0.0184049079754601,0.0131578947368421,0.0079155672823219,0.024390243902439,0.0127388535031847,0.0110610405571487,0.0139275766016713,0.00862068965517241
"ERBB2",0.0405343159834178,0.0245398773006135,0.0789473684210526,0.0485488126649077,0.0365853658536585,0.0127388535031847,0.0376894715280623,0.0278551532033426,0.0689655172413793
"ERCC2",0.0216490096729618,0,0.0394736842105263,0.0316622691292876,0.0304878048780488,0.0382165605095541,0.0253994264645637,0.011142061281337,0.0560344827586207
"ESR1",0.026715799170889,0.0245398773006135,0.0394736842105263,0.0232189973614776,0.0426829268292683,0.0382165605095541,0.0241704219582138,0.0167130919220056,0.0387931034482759
"ETNK1",0.0207277752187932,0.0184049079754601,0.0263157894736842,0.0168865435356201,0.024390243902439,0.00636942675159236,0.014338385907415,0.00557103064066852,0.0129310344827586
"ETV6",0.029940119760479,0.00613496932515337,0.0263157894736842,0.0237467018469657,0.024390243902439,0,0.0167963949201147,0.0139275766016713,0.0258620689655172
"EZH2",0.0280976508521419,0.0184049079754601,0.0263157894736842,0.0258575197889182,0.024390243902439,0,0.0184350675952479,0.011142061281337,0.021551724137931
"FANCL",0.0128972823583602,0.00613496932515337,0,0.0163588390501319,0.0121951219512195,0,0.00737402703809914,0.00557103064066852,0.00862068965517241
