,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000143167,-0.614092122330941,-1.50549219394572,-2.58802297006152,0.00970983627264029,0.0376730562815382,-3.21028053460246
ENSG00000144026,-0.153319888626828,3.63763913510193,-2.73179421327386,0.00634417631552521,0.0271165993879299,-3.21060400048117
ENSG00000125266,-0.312895668269394,5.25093848352698,-2.7985243294387,0.0051737972712934,0.0232118951811495,-3.21061664866292
ENSG00000226087,0.400023721077741,-5.0457922966132,2.59522054263842,0.00950938137063441,0.0371024877335908,-3.21087657493836
ENSG00000161642,-0.30701764326377,5.23592941761397,-2.79610122950129,0.00521262240304027,0.0233194517129513,-3.21202898412701
ENSG00000183722,-0.304730428510814,4.40520192036081,-2.76207998764543,0.00578625739876479,0.025223016359205,-3.21242788699712
ENSG00000262655,-0.67183754651245,3.95579020269199,-2.7205685036844,0.00656298031278693,0.027817712948383,-3.2130084792277
ENSG00000243156,-0.276938695504529,4.38069689607361,-2.76267038823226,0.00577583538843654,0.0251881200733101,-3.21306148245876
ENSG00000100246,-0.160144779149984,4.56660883679049,-2.77273019723309,0.005600838945458,0.0246310875030353,-3.21371158906651
ENSG00000188906,-0.74091118603912,4.10777013670332,-2.73082858595496,0.0063627360999805,0.0271641223886115,-3.21375084039961
ENSG00000163006,0.249969170780645,2.15598912827762,2.68039813780385,0.00740267106882866,0.0305930107031634,-3.21451967357496
ENSG00000154864,0.486340378684847,2.35841604170643,2.70249154037643,0.0069296245144819,0.0290941297610589,-3.21525558169602
ENSG00000250959,-0.153490637267608,0.000519096908454239,-2.6095653946918,0.00912085306443914,0.0359544671733337,-3.21550933235684
ENSG00000253223,-0.371586843450249,-3.87370859785355,-2.58716193330392,0.00973406709256778,0.0377521263726921,-3.21587168477251
ENSG00000238227,0.143360821661521,5.39267298044458,2.81843570362201,0.00486452891485559,0.022143556574422,-3.21775303168135
ENSG00000146477,0.581138630474171,1.6894405596289,2.67525547891159,0.00751685750967246,0.0309666799225874,-3.21835219624137
ENSG00000146707,-0.21364657215898,2.59742579410873,-2.68135020823294,0.00738170311908752,0.0305184573750666,-3.21860688044894
ENSG00000213036,0.232458824892819,-3.04473142874004,2.58024774355694,0.00993060573921545,0.0383391858057629,-3.21879961686106
ENSG00000148795,0.568127747178631,-0.963441515390702,2.60317427615228,0.00929216940624179,0.0364322950463158,-3.22027754805496
ENSG00000129675,-0.312891162312237,3.87455304113966,-2.73405846715637,0.00630084739877234,0.0269735619475374,-3.22071712409822
ENSG00000227523,0.270478188778343,-5.75249654286975,2.60132592002972,0.00934224801806451,0.0365965185453321,-3.22132441609387
ENSG00000239665,-0.171768871993503,3.14802498622884,-2.70507624498282,0.00687609676081466,0.0289427465486211,-3.22158973879481
ENSG00000237289,-0.702923384311557,0.471184489769118,-2.60563770221987,0.00922579896676848,0.0362538999739747,-3.22159515295863
ENSG00000148584,0.986408320427732,-1.72334679518862,2.59745605591251,0.00944787756170133,0.0369362635157886,-3.22184317078818
ENSG00000139572,-0.360553281923203,-0.120003454022517,-2.60164694978812,0.00933353291603472,0.0365715422579666,-3.22192785380449
ENSG00000124126,-0.305513009663795,5.52275120592259,-2.80688598728086,0.00504181887196804,0.0227551374839343,-3.22229625785445
ENSG00000162892,-0.345201892570355,0.440509743810382,-2.61153621836436,0.00906859652574082,0.035812185358316,-3.22294082023048
ENSG00000169020,0.198460638246477,6.15810883659638,2.84951293236248,0.00441516184305119,0.020521734081102,-3.22306662017017
ENSG00000178222,-0.597537125938541,0.625589709206349,-2.6106822560575,0.00909120647311238,0.0358828381723401,-3.22308665356114
ENSG00000100987,0.444897591353986,-3.85802301244174,2.57887838475767,0.00996994735939673,0.038453227338549,-3.22322036927302
ENSG00000237352,-0.406069286153498,-4.18212004648494,-2.58830134718136,0.00970201385360648,0.0376520916819152,-3.22328377004948
ENSG00000174429,-0.339851462740815,-4.72594542831521,-2.59398759497382,0.00954345507133136,0.0372055056467359,-3.22403841497886
ENSG00000185551,-0.27659001339278,5.7504737719116,-2.81764560738601,0.0048764747622176,0.0221817883132121,-3.22432513609924
ENSG00000125945,-0.189855284526694,4.37211113305132,-2.75959012713206,0.00583039641138969,0.0253800410679845,-3.22462305991398
ENSG00000011021,-0.150926944233243,4.19123491786874,-2.75324689299923,0.00594422187668468,0.025739361534438,-3.2250792239163
ENSG00000278570,-0.322059537643725,-2.24356419953328,-2.57896002764434,0.00996759787424048,0.0384489082570628,-3.22530133341009
ENSG00000133678,0.163089754432496,4.81113700399477,2.79378643615128,0.00524995794971346,0.0234407661247523,-3.22574287297557
ENSG00000235072,-0.291597867849964,-1.77649143476338,-2.58159927757017,0.00989191197592078,0.0382135289922277,-3.22700692461971
ENSG00000178295,0.215473027175767,3.69478003309817,2.74300381460927,0.0061322631026691,0.0263782642308787,-3.22809414169244
ENSG00000269938,-0.275653809661846,-3.54706062392462,-2.57861220146333,0.00997761090041587,0.038473293579258,-3.22818431974612
ENSG00000267370,-0.211906832428536,-1.14993154245839,-2.58769634765646,0.00971902155950639,0.037704015647971,-3.22851250211013
ENSG00000176845,-0.283243265527476,4.8254114002939,-2.77256290673684,0.00560370948850816,0.0246402458566549,-3.22857520142414
ENSG00000249006,0.265541374649274,-5.58606063033241,2.59579696468897,0.00949348866256024,0.0370589767167208,-3.23046117733685
ENSG00000213918,-0.219453830986713,3.89596121894573,-2.73124305175255,0.00635476390318911,0.0271412044426877,-3.23158799577209
ENSG00000249673,-0.153743685498626,3.77564112876656,-2.73050004920671,0.00636906185984069,0.027179995391497,-3.2319437265331
ENSG00000172409,0.118127839201103,3.5276455534978,2.73072494025596,0.00636473111889274,0.027168930051268,-3.23257288316656
ENSG00000148200,0.317209222837116,2.29392349775273,2.68217589981109,0.00736356165892225,0.0304573288988532,-3.23292337753987
ENSG00000261534,-0.245177950138195,1.23526120974728,-2.62839539621859,0.00863239136803008,0.0344854495075463,-3.23326667038824
ENSG00000259630,0.339279298995393,-3.33024027733587,2.57412812006712,0.0101075012483273,0.0388740877389689,-3.23337169559526
ENSG00000168484,1.04120894269253,-2.69776142768271,2.58065591223303,0.00991890587210007,0.0383057061773406,-3.23356829835023
ENSG00000166856,0.356627426290005,-2.622901175451,2.57680970032485,0.0100296440440987,0.0386453370266024,-3.23397929164577
ENSG00000196199,-0.126109889537619,5.59883877702757,-2.8119916011523,0.00496273827453308,0.0224825992999276,-3.23400966343526
ENSG00000165646,-0.413196418725501,-0.942018315613653,-2.58569750125713,0.0097754022049592,0.0378531740077438,-3.23441830562833
ENSG00000270062,-0.202237599232343,-1.31659590095199,-2.58331867611058,0.00984288071751821,0.0380698269255442,-3.23528305328334
ENSG00000204334,0.391439834396961,-0.179591406905064,2.60710021513808,0.00918659603203868,0.0361503664552577,-3.23606239666775
ENSG00000232022,-0.337485680389321,-1.52619967505838,-2.57979323496847,0.00994364838179184,0.0383801996792824,-3.23632576840951
ENSG00000251271,0.32006493831437,-4.10262314296544,2.5756019223125,0.0100646443693808,0.038742004203102,-3.23643914005979
ENSG00000231794,-0.336016835530765,-2.83998173317069,-2.57256605968044,0.01015310202249,0.0390152628781143,-3.237414219072
ENSG00000105738,-0.19133446531329,5.86060055638777,-2.81831792911531,0.00486630792288705,0.0221484302958999,-3.23754733334602
ENSG00000026103,-0.283066107190137,4.08473616005734,-2.73847778169329,0.00621704605394932,0.0266695837583876,-3.23822408158036
ENSG00000135423,0.358811531831145,-0.571503131983991,2.59862568347848,0.00941584025046964,0.0368294336942313,-3.23875643901188
ENSG00000234648,-0.282762886930474,-1.3330338407966,-2.58063698656383,0.00991944809127308,0.0383057061773406,-3.23983826377517
ENSG00000185728,0.134191465795991,6.11084090698403,2.83957638016979,0.00455457008117973,0.0210082415964263,-3.24038576020342
ENSG00000213642,-0.356554065601218,-4.99816161220456,-2.5911453314248,0.00962241912885254,0.0374407418268991,-3.24056852487147
ENSG00000251194,-0.361462883969338,-2.94993173543631,-2.57140777134029,0.0101870338471017,0.0391312253478104,-3.24058756180856
ENSG00000186335,-0.427794856211389,-4.69868807052516,-2.58830096747077,0.00970202451967478,0.0376520916819152,-3.24059891583924
ENSG00000139567,-0.27364754660045,4.51792322411273,-2.75714841546239,0.00587397660881638,0.0255125804419403,-3.2406064923197
ENSG00000185339,-0.34819252497904,5.40228826447464,-2.79321695849126,0.00525918008681211,0.0234651887777456,-3.2411259410544
ENSG00000179085,0.243094642168558,4.51341764039134,2.77768961898044,0.00551634080996667,0.0243622802889884,-3.24128787779424
ENSG00000139370,-0.182577102099828,4.98853253429436,-2.78256428441581,0.00543441034061011,0.0240752539714079,-3.24144840568151
ENSG00000246922,-0.229792162731194,1.52884137219606,-2.63464005660673,0.00847564562404828,0.0340113561823334,-3.24157191039375
ENSG00000273768,0.253400315199111,-5.86776824818524,2.59459301410488,0.00952671013909465,0.0371515555785996,-3.24187308279027
ENSG00000185825,0.149769295395508,8.08498159696875,2.91024609161345,0.00364398206579665,0.017613237167001,-3.24195582616681
ENSG00000166573,-0.474412999322387,-4.55008054253023,-2.58641775885431,0.00975505266769241,0.0378203331448737,-3.24199159344858
